Date,Time,Value,Chart Type
3/12/2019,0:16:20,53,Chart J
3/12/2019,0:16:20,1009,Chart K
3/12/2019,0:16:20,1806,Chart L
3/12/2019,0:16:20,13,Chart M
3/12/2019,0:16:20,0,Chart N
3/12/2019,0:16:40,2.7,Chart A
3/12/2019,0:16:40,4.9,Chart C
3/12/2019,0:16:40,14,Chart H
3/12/2019,0:16:40,0,Chart D
3/12/2019,0:16:40,76,Chart B
3/12/2019,0:16:40,52,Chart F
3/12/2019,0:16:40,0,Chart G
3/12/2019,0:16:40,94,Chart I
3/12/2019,0:16:40,53,Chart J
3/12/2019,0:16:40,1018,Chart K
3/12/2019,0:16:40,1823,Chart L
3/12/2019,0:16:40,13,Chart M
3/12/2019,0:16:40,0,Chart N
3/12/2019,0:17:00,2.7,Chart A
3/12/2019,0:17:00,4.9,Chart C
3/12/2019,0:17:00,14,Chart H
3/12/2019,0:17:00,0,Chart D
3/12/2019,0:17:00,75,Chart B
3/12/2019,0:17:00,52,Chart F
3/12/2019,0:17:00,0,Chart G
3/12/2019,0:17:00,94,Chart I
3/12/2019,0:17:00,52,Chart J
3/12/2019,0:17:00,1019,Chart K
3/12/2019,0:17:00,1823,Chart L
3/12/2019,0:17:00,14,Chart M
3/12/2019,0:17:00,0,Chart N
3/12/2019,0:17:20,2.7,Chart A
3/12/2019,0:17:20,4.8,Chart C
3/12/2019,0:17:20,13,Chart H
3/12/2019,0:17:20,0,Chart D
3/12/2019,0:17:20,75,Chart B
3/12/2019,0:17:20,52,Chart F
3/12/2019,0:17:20,0,Chart G
3/12/2019,0:17:20,94,Chart I
3/12/2019,0:17:20,52,Chart J
3/12/2019,0:17:20,1023,Chart K
3/12/2019,0:17:20,1832,Chart L
3/12/2019,0:17:20,13,Chart M
3/12/2019,0:17:20,0,Chart N
3/12/2019,0:17:40,2.7,Chart A
3/12/2019,0:17:40,4.8,Chart C
3/12/2019,0:17:40,14,Chart H
3/12/2019,0:17:40,0,Chart D
3/12/2019,0:17:40,75,Chart B
3/12/2019,0:17:40,53,Chart F
